,Year,Month,Mean Temp (°C),Date/Time
161,1950,JUN,17.7,1950-06
162,1950,JUL,19.9,1950-07
163,1950,AUG,19.2,1950-08
164,1950,SEP,14.2,1950-09
165,1950,OCT,11.1,1950-10
166,1950,NOV,2.2,1950-11
167,1950,DEC,-3.5,1950-12
168,1951,JAN,-4.3,1951-01
169,1951,FEB,-4.4,1951-02
170,1951,MAR,0.3,1951-03
171,1951,APR,6.3,1951-04
172,1951,MAY,13.7,1951-05
173,1951,JUN,17.7,1951-06
174,1951,JUL,21.0,1951-07
175,1951,AUG,19.5,1951-08
176,1951,SEP,15.5,1951-09
177,1951,OCT,9.9,1951-10
178,1951,NOV,0.2,1951-11
179,1951,DEC,-3.5,1951-12
180,1952,JAN,-4.7,1952-01
181,1952,FEB,-3.7,1952-02
182,1952,MAR,-1.1,1952-03
183,1952,APR,8.4,1952-04
184,1952,MAY,11.5,1952-05
185,1952,JUN,19.1,1952-06
186,1952,JUL,22.8,1952-07
187,1952,AUG,19.8,1952-08
188,1952,SEP,17.1,1952-09
189,1952,OCT,6.9,1952-10
190,1952,NOV,4.6,1952-11
191,1952,DEC,-0.2,1952-12
192,1953,JAN,-2.9,1953-01
193,1953,FEB,-2.4,1953-02
194,1953,MAR,1.2,1953-03
195,1953,APR,5.7,1953-04
196,1953,MAY,13.0,1953-05
197,1953,JUN,18.5,1953-06
198,1953,JUL,21.2,1953-07
199,1953,AUG,20.6,1953-08
200,1953,SEP,16.0,1953-09
201,1953,OCT,10.5,1953-10
202,1953,NOV,5.4,1953-11
203,1953,DEC,-0.6,1953-12
204,1954,JAN,-8.0,1954-01
205,1954,FEB,-1.9,1954-02
206,1954,MAR,-1.2,1954-03
207,1954,APR,7.0,1954-04
208,1954,MAY,11.3,1954-05
209,1954,JUN,19.3,1954-06
210,1954,JUL,20.1,1954-07
211,1954,AUG,19.2,1954-08
212,1954,SEP,15.5,1954-09
213,1954,OCT,11.0,1954-10
214,1954,NOV,4.0,1954-11
215,1954,DEC,-3.4,1954-12
216,1955,JAN,-5.8,1955-01
217,1955,FEB,-5.3,1955-02
218,1955,MAR,-1.1,1955-03
219,1955,APR,9.5,1955-04
220,1955,MAY,14.6,1955-05
221,1955,JUN,19.0,1955-06
222,1955,JUL,24.2,1955-07
223,1955,AUG,23.0,1955-08
224,1955,SEP,15.8,1955-09
225,1955,OCT,11.0,1955-10
226,1955,NOV,2.4,1955-11
227,1955,DEC,-5.5,1955-12
228,1956,JAN,-5.7,1956-01
229,1956,FEB,-4.5,1956-02
230,1956,MAR,-2.5,1956-03
231,1956,APR,4.4,1956-04
232,1956,MAY,10.1,1956-05
233,1956,JUN,18.2,1956-06
234,1956,JUL,19.4,1956-07
235,1956,AUG,19.5,1956-08
236,1956,SEP,13.1,1956-09
237,1956,OCT,10.5,1956-10
238,1956,NOV,3.9,1956-11
239,1956,DEC,-1.2,1956-12
240,1957,JAN,-8.5,1957-01
241,1957,FEB,-4.0,1957-02
242,1957,MAR,0.8,1957-03
243,1957,APR,7.7,1957-04
244,1957,MAY,11.8,1957-05
245,1957,JUN,19.2,1957-06
246,1957,JUL,21.1,1957-07
247,1957,AUG,19.2,1957-08
248,1957,SEP,15.9,1957-09
249,1957,OCT,8.9,1957-10
250,1957,NOV,4.1,1957-11
251,1957,DEC,-0.2,1957-12
252,1958,JAN,-5.1,1958-01
253,1958,FEB,-7.7,1958-02
254,1958,MAR,1.4,1958-03
255,1958,APR,8.1,1958-04
256,1958,MAY,12.0,1958-05
257,1958,JUN,16.1,1958-06
258,1958,JUL,21.2,1958-07
259,1958,AUG,20.2,1958-08
260,1958,SEP,16.6,1958-09
261,1958,OCT,9.7,1958-10
262,1958,NOV,4.1,1958-11
263,1958,DEC,-7.0,1958-12
264,1959,JAN,-7.2,1959-01
265,1959,FEB,-7.6,1959-02
266,1959,MAR,-2.0,1959-03
267,1959,APR,7.1,1959-04
268,1959,MAY,14.2,1959-05
269,1959,JUN,19.9,1959-06
270,1959,JUL,22.3,1959-07
271,1959,AUG,23.8,1959-08
272,1959,SEP,18.7,1959-09
273,1959,OCT,9.7,1959-10
274,1959,NOV,2.1,1959-11
275,1959,DEC,-1.4,1959-12
276,1960,JAN,-5.1,1960-01
277,1960,FEB,-4.4,1960-02
278,1960,MAR,-6.0,1960-03
279,1960,APR,7.5,1960-04
280,1960,MAY,13.6,1960-05
281,1960,JUN,18.2,1960-06
282,1960,JUL,20.3,1960-07
283,1960,AUG,20.4,1960-08
284,1960,SEP,17.6,1960-09
285,1960,OCT,9.9,1960-10
286,1960,NOV,5.5,1960-11
287,1960,DEC,-5.4,1960-12
288,1961,JAN,-8.1,1961-01
289,1961,FEB,-3.0,1961-02
290,1961,MAR,0.1,1961-03
291,1961,APR,4.6,1961-04
292,1961,MAY,11.7,1961-05
293,1961,JUN,18.0,1961-06
294,1961,JUL,21.1,1961-07
295,1961,AUG,20.6,1961-08
296,1961,SEP,19.3,1961-09
297,1961,OCT,12.0,1961-10
