,year,month,date_time,mean_temp
363,1870,JUL,1870-07-01,20.5
364,1870,JUN,1870-06-01,19.4
365,1870,MAR,1870-03-01,-2.9
366,1870,MAY,1870-05-01,13.9
367,1870,NOV,1870-11-01,2.9
368,1870,OCT,1870-10-01,10.5
369,1870,SEP,1870-09-01,16.5
370,1871,APR,1871-04-01,6.8
371,1871,AUG,1871-08-01,19.9
372,1871,DEC,1871-12-01,-5.4
373,1871,FEB,1871-02-01,-4.9
374,1871,JAN,1871-01-01,-6.2
375,1871,JUL,1871-07-01,18.9
376,1871,JUN,1871-06-01,16.6
377,1871,MAR,1871-03-01,1.6
378,1871,MAY,1871-05-01,12.0
379,1871,NOV,1871-11-01,-0.4
380,1871,OCT,1871-10-01,9.7
381,1871,SEP,1871-09-01,13.2
382,1872,APR,1872-04-01,4.8
383,1872,AUG,1872-08-01,21.0
384,1872,DEC,1872-12-01,-8.2
385,1872,FEB,1872-02-01,-6.2
386,1872,JAN,1872-01-01,-6.2
387,1872,JUL,1872-07-01,21.2
388,1872,JUN,1872-06-01,17.1
389,1872,MAR,1872-03-01,-6.1
390,1872,MAY,1872-05-01,11.0
391,1872,NOV,1872-11-01,0.8
392,1872,OCT,1872-10-01,7.6
393,1872,SEP,1872-09-01,15.4
394,1873,APR,1873-04-01,4.2
395,1873,AUG,1873-08-01,19.1
396,1873,DEC,1873-12-01,-2.0
397,1873,FEB,1873-02-01,-7.5
398,1873,JAN,1873-01-01,-8.3
399,1873,JUL,1873-07-01,20.0
400,1873,JUN,1873-06-01,17.3
401,1873,MAR,1873-03-01,-3.3
402,1873,MAY,1873-05-01,11.0
403,1873,NOV,1873-11-01,-2.4
404,1873,OCT,1873-10-01,7.6
405,1873,SEP,1873-09-01,13.7
406,1874,APR,1874-04-01,0.8
407,1874,AUG,1874-08-01,19.3
408,1874,DEC,1874-12-01,-3.9
409,1874,FEB,1874-02-01,-5.6
410,1874,JAN,1874-01-01,-4.3
411,1874,JUL,1874-07-01,19.5
412,1874,JUN,1874-06-01,17.1
413,1874,MAR,1874-03-01,-1.4
414,1874,MAY,1874-05-01,11.5
415,1874,NOV,1874-11-01,1.7
416,1874,OCT,1874-10-01,8.5
417,1874,SEP,1874-09-01,17.4
418,1875,APR,1875-04-01,2.5
419,1875,AUG,1875-08-01,18.7
420,1875,DEC,1875-12-01,-2.9
421,1875,FEB,1875-02-01,-12.6
422,1875,JAN,1875-01-01,-9.2
423,1875,JUL,1875-07-01,19.2
424,1875,JUN,1875-06-01,16.1
425,1875,MAR,1875-03-01,-4.9
426,1875,MAY,1875-05-01,10.9
427,1875,NOV,1875-11-01,-0.1
428,1875,OCT,1875-10-01,6.4
429,1875,SEP,1875-09-01,13.3
430,1876,APR,1876-04-01,3.6
431,1876,AUG,1876-08-01,21.2
432,1876,DEC,1876-12-01,-8.3
433,1876,FEB,1876-02-01,-5.0
434,1876,JAN,1876-01-01,-1.3
435,1876,JUL,1876-07-01,20.3
436,1876,JUN,1876-06-01,18.6
437,1876,MAR,1876-03-01,-3.3
438,1876,MAY,1876-05-01,10.7
439,1876,NOV,1876-11-01,2.9
