Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1936,54.4,66.3,103.4,76.2,18.3,73.9,19.6,44.5,73.7,62.2,33.0,85.6
1937,131.6,56.1,37.6,102.1,73.7,92.5,74.2,73.4,35.3,69.9,45.7,42.9
1938,41.4,91.9,41.7,44.5,54.6,37.8,66.5,52.3,101.1,26.2,36.8,56.6
1939,57.2,91.9,80.0,87.1,37.8,48.5,43.7,105.9,64.0,48.0,8.1,31.5
1940,49.8,39.1,56.9,65.5,127.3,94.7,41.1,67.6,93.7,44.5,122.2,96.5
1941,65.5,35.6,40.9,33.0,57.9,40.1,122.2,49.3,21.3,95.0,56.6,37.8
1942,53.3,48.8,100.1,43.9,172.5,33.8,145.5,29.5,92.7,73.4,68.8,105.7
1943,74.4,59.4,111.0,82.8,116.3,74.2,76.5,62.2,35.8,78.7,44.5,13.2
1944,25.7,55.4,84.3,71.9,97.5,109.7,79.8,35.6,54.1,13.2,49.0,103.4
1945,45.7,56.6,116.3,107.2,137.2,97.8,74.4,55.1,158.5,65.0,59.9,57.2
1946,64.8,83.3,32.0,24.4,107.4,52.1,93.0,48.5,39.6,87.1,50.3,64.0
1947,99.8,25.4,65.8,72.1,85.9,115.1,143.3,59.9,45.5,28.4,44.7,60.7
1948,39.9,80.3,65.5,49.8,67.1,103.1,33.3,22.6,56.4,66.8,83.8,64.0
1949,74.4,72.1,54.9,30.5,10.4,1.5,79.8,36.3,86.9,46.2,51.6,77.5
1950,101.3,100.3,58.2,55.9,26.4,56.4,110.0,98.3,19.8,100.6,100.8,26.9
1951,61.5,56.4,109.7,115.3,31.0,99.8,100.3,41.4,37.3,50.5,100.6,95.3
1952,72.4,42.4,74.2,53.8,82.6,27.7,77.7,47.0,39.4,17.3,88.4,42.2
1953,45.5,27.7,72.1,63.8,110.7,45.5,70.1,50.5,96.8,21.3,46.0,46.2
1954,59.2,62.5,90.4,103.6,21.8,86.1,7.4,97.0,49.0,154.9,49.3,61.7
1955,48.5,52.8,69.1,77.7,65.5,36.3,70.4,128.0,29.7,125.2,51.3,61.5
1956,47.8,52.1,98.8,79.2,119.4,41.4,84.3,150.9,47.2,28.2,40.6,63.8
1957,71.9,61.7,34.0,86.4,77.0,92.2,53.3,40.6,126.2,64.3,55.1,83.3
1958,36.8,48.8,25.7,39.9,27.2,55.6,63.8,108.0,98.6,32.8,91.4,27.2
1959,69.9,89.7,75.4,72.9,39.4,19.8,31.2,34.3,99.8,83.3,72.9,99.1
1960,101.1,94.0,47.0,81.8,134.4,61.7,111.3,31.2,7.9,65.3,52.3,21.6
1961,26.9,86.9,74.2,104.4,67.3,109.5,111.8,50.3,38.1,13.5,60.2,42.2
